ano,mes,conselho,conta,conta_norm,soma_d,soma_c,n_lancamentos
2022,1,CFC,1.1.5.1.01.01.002,11510101002,0.0,270.18,1
2022,1,CFC,1.1.5.1.01.02.001,11510102001,0.0,527.68,1
2022,1,CFC,1.2.2.2.03.01.001,12220301001,0.0,4659.25,1
2022,1,CFC,1.2.2.2.03.01.002,12220301002,0.0,2089.87,1
2022,1,CFC,1.2.2.2.03.01.003,12220301003,0.0,261.75,1
2022,1,CFC,1.2.2.2.03.01.004,12220301004,0.0,121.56,1
2022,1,CFC,1.2.2.2.03.01.006,12220301006,0.0,31968.83,1
2022,1,CFC,1.2.2.2.03.02.001,12220302001,0.0,111111.11,1
2022,1,CFC,1.2.2.3.01.01.003,12230101003,438991.39,0.0,1
2022,1,CFC,1.2.2.3.02.01.001,12230201001,0.0,22645.73,1
2022,1,CFC,1.2.2.3.02.01.002,12230201002,0.0,4106.64,1
2022,1,CFC,2.1.1.1.01.01.001,21110101001,705135.02,680375.8,8
2022,1,CFC,2.1.1.2.01.01.001,21120101001,304600.5,312239.5,7
2022,1,CFC,2.1.1.2.01.01.002,21120101002,156346.00999999998,105845.81,6
2022,1,CFC,2.1.1.2.01.01.003,21120101003,19690.18,13648.02,3
2022,1,CFC,2.1.2.1.01.01.002,21210101002,0.0,16190.68,17
2022,1,CFC,2.1.2.1.01.01.003,21210101003,77592.37,106934.96,54
2022,1,CFC,2.1.2.1.01.01.004,21210101004,0.0,22822.399999999998,6
2022,1,CFC,2.1.2.1.01.01.005,21210101005,0.0,38336.91,4
2022,1,CFC,2.1.2.1.02.01.001,21210201001,76188.28,80925.87,5
2022,1,CFC,2.1.2.1.02.01.002,21210201002,477498.08999999997,217654.01,10
2022,1,CFC,2.1.2.1.02.01.003,21210201003,11723.82,11723.82,7
2022,1,CFC,2.1.2.1.02.01.004,21210201004,65066.53,64929.49,2
2022,1,CFC,2.1.2.1.02.01.005,21210201005,856.8,854.08,2
2022,1,CFC,2.1.2.1.02.01.007,21210201007,82434.4,82434.4,2
2022,1,CFC,2.1.2.1.02.01.009,21210201009,280.0,280.0,2
2022,1,CFC,2.1.2.1.02.01.014,21210201014,2485.98,2485.98,4
2022,1,CFC,2.1.2.1.02.01.015,21210201015,2387.0,2407.0,4
2022,1,CFC,2.1.2.1.03.01.056,21210301056,732.56,732.56,2
2022,1,CFC,2.1.2.1.03.01.063,21210301063,1238.03,1238.03,2
2022,1,CFC,2.1.2.1.03.01.084,21210301084,53750.45,50153.27,4
2022,1,CFC,2.1.2.1.03.01.087,21210301087,3560.0,1532.0,3
2022,1,CFC,2.1.2.1.03.01.088,21210301088,2862.49,2862.49,2
2022,1,CFC,2.1.2.1.03.01.095,21210301095,3198.55,3198.55,2
2022,1,CFC,2.1.2.1.03.01.097,21210301097,2658.06,2658.06,3
2022,1,CFC,2.1.2.1.03.01.127,21210301127,6238.9,6238.9,2
2022,1,CFC,2.1.2.1.03.01.144,21210301144,1755.43,687.1,2
